L,A,B
123,161,48
124,162,49
123,163,49
124,164,50
124,164,49
122,165,50
122,164,52
122,164,54
122,163,59
124,161,65
125,162,67
126,163,68
127,163,65
125,162,59
124,162,61
124,161,65
123,162,73
123,161,76
122,162,74
119,162,70
119,163,66
118,166,56
117,165,56
116,165,60
117,165,65
118,166,66
120,164,66
121,163,65
123,161,60
124,161,56
126,162,52
126,164,51
123,165,53
120,167,61
117,169,71
114,170,79
111,171,83
108,170,87
108,170,87
112,168,107
111,167,92
112,166,72
116,166,53
118,164,42
121,161,39
124,159,41
124,159,43
125,160,44
125,160,44
124,161,45
123,162,47
123,161,48
124,162,49
124,162,49
124,163,48
120,163,47
121,164,48
121,163,53
121,162,58
122,162,65
125,161,71
126,163,70
126,163,67
125,163,62
125,163,60
124,162,63
122,161,70
121,161,73
119,162,72
118,162,65
117,164,62
118,165,49
118,165,53
117,164,58
117,165,65
118,165,71
118,165,69
118,163,62
119,163,52
122,163,45
124,163,44
124,165,47
122,164,52
120,167,63
117,168,73
114,170,83
112,169,90
111,170,88
111,170,88
111,167,120
110,166,105
110,165,81
113,164,59
116,164,46
118,161,43
120,159,42
121,158,42
122,159,43
122,160,41
122,161,42
122,161,46
123,161,48
123,161,52
122,160,51
122,160,49
122,162,48
122,162,48
121,163,51
121,162,56
122,162,63
123,162,69
124,163,72
124,164,68
124,165,63
123,164,58
122,163,59
121,163,63
120,161,65
118,162,64
118,163,60
116,164,55
122,162,48
121,163,51
120,163,56
118,164,65
118,165,71
118,165,71
118,165,63
118,165,51
121,165,44
124,165,45
124,164,49
121,165,54
119,166,62
118,167,75
115,168,86
114,168,93
109,170,90
109,170,90
109,166,133
108,165,114
108,165,88
111,165,67
115,165,52
118,162,47
120,160,45
119,159,44
121,160,43
121,160,43
120,161,43
121,161,47
121,160,51
122,159,54
123,160,55
123,160,55
123,160,55
122,161,54
123,162,53
122,164,54
122,165,60
122,163,67
123,164,72
123,164,68
122,164,62
121,165,54
121,165,52
120,164,53
