R,G,B
61,23,96
65,25,96
64,24,95
63,23,93
63,23,93
63,26,95
66,29,96
70,30,101
67,27,98
63,25,98
61,23,96
63,25,98
75,34,110
89,48,124
105,61,138
121,74,152
128,79,158
127,76,155
114,61,139
112,58,136
106,52,130
105,51,127
106,52,128
107,53,128
109,55,130
106,54,129
105,53,128
102,51,126
98,47,122
95,44,119
85,34,109
82,31,108
79,28,105
82,31,110
84,33,112
79,30,111
85,36,117
98,51,131
105,58,138
112,53,133
108,49,129
113,53,139
114,56,141
110,57,139
97,50,130
79,36,115
62,24,99
55,19,93
54,18,90
56,18,91
61,21,92
65,25,96
67,25,97
66,25,95
66,25,95
68,28,98
71,31,101
71,34,104
68,31,101
65,28,98
61,24,94
66,26,99
78,36,110
86,42,117
93,46,124
112,61,140
126,73,153
130,77,157
117,64,144
115,62,142
111,58,138
110,59,138
109,58,137
110,57,135
111,58,136
110,57,135
110,57,135
111,58,136
112,59,137
108,54,132
93,39,117
89,32,111
87,30,111
90,33,114
92,37,118
88,33,114
89,36,118
96,44,126
102,50,132
114,49,133
116,51,135
118,56,141
117,59,143
112,59,141
99,50,129
78,36,112
62,24,99
54,18,90
53,17,89
58,20,93
64,24,95
68,26,98
69,27,99
69,26,98
69,26,97
73,30,101
76,33,104
70,35,103
67,32,100
66,29,98
64,24,95
68,26,98
78,35,107
83,35,111
86,35,112
104,51,131
126,71,152
134,79,160
131,78,160
122,70,152
115,66,147
102,55,135
98,51,131
97,45,127
92,40,122
95,43,125
106,54,136
116,63,143
122,67,148
122,65,146
112,55,136
103,44,126
96,37,119
95,36,118
98,39,121
95,38,119
92,35,116
95,40,121
100,45,126
115,47,132
124,54,140
120,58,141
118,59,141
111,56,137
96,47,126
76,34,108
60,22,95
54,18,90
54,18,90
61,24,94
67,27,98
72,30,102
74,31,103
74,31,103
77,31,104
80,34,107
82,36,109
71,39,106
66,34,101
64,29,97
63,23,93
66,25,95
75,29,102
80,29,104
84,31,109
102,48,126
131,74,155
141,86,167
137,84,166
122,73,155
108,63,144
88,45,127
76,34,116
75,30,111
75,28,109
82,35,116
94,45,127
107,55,138
117,64,146
124,69,152
127,69,153
117,58,140
104,45,127
98,39,121
100,41,123
99,40,122
93,36,117
95,38,119
100,43,124
112,47,131
125,57,142
120,59,139
115,56,136
104,51,129
89,43,118
72,30,104
57,21,93
52,19,90
54,21,90
62,26,96
67,30,100
75,35,108
81,37,112
82,38,113
85,39,114
87,41,116
88,42,117
76,44,111
69,37,104
66,31,99
63,23,93
64,23,93
74,28,100
85,34,109
95,43,118
113,59,137
134,79,160
139,86,166
119,67,149
103,56,137
83,40,122
66,27,108
55,18,98
60,18,100
65,23,105
71,28,110
71,26,107
78,31,112
92,43,125
108,56,138
120,67,149
120,65,148
110,55,136
102,47,128
103,46,127
102,45,126
98,41,122
96,39,120
95,40,121
107,45,128
117,55,138
117,58,138
109,52,131
96,43,121
82,36,111
67,27,100
53,20,89
52,21,89
58,27,95
64,31,102
70,34,106
77,39,112
84,42,116
87,43,118
90,43,121
91,44,122
92,45,123
78,46,113
72,40,107
67,32,100
59,22,91
62,21,91
73,30,101
90,43,115
104,53,128
119,67,142
124,71,149
117,66,145
95,46,127
79,34,115
59,18,97
47,10,90
44,9,89
51,14,94
61,22,103
63,24,103
55,14,93
54,13,92
64,21,100
75,31,110
90,46,125
103,56,134
104,57,135
103,54,133
103,52,131
102,51,130
101,48,128
95,42,122
92,37,118
97,42,123
105,50,131
116,57,137
103,49,127
90,39,116
75,33,105
62,26,96
52,21,89
54,25,92
60,33,100
67,37,107
72,39,110
77,41,113
84,43,119
86,44,120
88,46,122
90,46,125
91,47,126
78,42,112
73,37,107
65,29,99
55,18,88
55,15,86
68,26,98
84,41,113
99,53,126
109,61,135
102,54,130
88,42,117
84,40,117
71,30,108
53,14,93
39,2,80
43,9,86
52,15,92
62,25,102
65,28,105
55,18,95
52,14,91
51,13,90
50,12,87
61,23,98
74,36,111
87,49,124
95,54,130
95,51,128
98,51,129
100,51,130
96,45,124
89,36,116
92,38,116
98,44,122
118,61,140
98,45,123
83,35,109
70,28,100
57,24,93
52,23,90
52,25,92
63,38,104
69,42,111
77,47,117
83,50,121
84,48,122
81,43,118
80,39,117
80,39,117
81,38,117
73,35,108
68,30,103
63,25,98
59,21,94
57,20,90
66,29,99
80,40,111
85,45,116
83,41,113
73,31,103
71,29,103
67,27,100
77,36,112
72,34,109
55,18,95
41,7,83
51,13,88
62,24,99
69,31,106
66,28,103
60,24,96
49,16,87
42,9,80
40,9,79
45,13,86
63,31,104
76,42,116
87,49,124
98,56,132
100,53,133
94,42,124
91,38,120
100,43,122
111,54,133
114,60,136
96,44,119
79,33,106
65,25,96
53,20,89
47,18,85
44,19,85
53,28,94
58,33,99
62,35,104
67,36,106
66,32,106
66,30,104
68,30,107
71,33,110
72,34,111
73,32,108
67,29,104
62,24,97
58,22,94
59,23,95
66,33,104
74,41,110
77,41,111
72,36,106
67,30,100
69,32,102
74,36,109
79,41,114
75,37,110
65,29,101
58,22,94
65,23,95
71,29,101
72,30,102
68,28,99
65,28,98
61,28,97
57,26,94
52,22,92
51,24,93
62,32,102
69,37,110
76,40,114
89,47,123
93,46,126
91,38,120
90,35,118
100,42,119
111,53,130
118,64,140
98,46,121
77,31,104
62,22,93
50,18,85
42,13,79
37,12,77
43,18,83
47,22,87
50,23,90
54,23,91
53,20,91
52,19,90
58,22,96
61,25,99
63,27,101
67,26,102
64,23,99
60,22,97
58,22,96
60,27,98
68,37,107
72,41,111
69,38,108
64,31,100
62,29,98
69,33,103
81,44,114
82,45,115
78,41,111
76,39,109
74,37,107
78,32,104
77,31,103
73,30,101
69,28,98
72,32,102
76,39,108
72,39,108
62,31,99
56,26,96
59,29,99
59,27,100
65,29,103
78,36,112
87,38,119
90,37,119
93,35,119
103,42,120
113,52,130
130,73,150
107,53,128
82,35,107
64,23,93
50,15,81
40,10,74
38,9,73
40,14,77
44,18,81
49,20,86
51,20,87
51,18,87
52,19,88
54,21,92
54,21,92
53,20,91
57,17,90
57,17,90
57,19,92
59,23,95
61,30,100
68,37,107
69,39,109
68,37,107
63,32,102
64,31,100
67,31,101
81,44,114
77,40,109
78,38,108
80,40,110
77,37,107
75,30,99
73,28,97
73,28,97
76,30,102
79,36,107
82,42,112
74,37,106
58,25,94
50,19,87
53,22,92
54,21,92
59,21,96
71,29,105
85,36,117
94,39,122
98,40,124
104,46,123
112,54,131
139,81,157
117,61,136
89,37,109
69,24,93
53,14,79
42,7,71
39,9,71
43,13,75
47,17,79
50,20,82
53,21,86
54,22,87
54,22,89
52,20,87
50,17,86
48,15,84
52,12,83
55,15,86
56,19,89
60,24,96
63,30,101
66,35,105
68,37,107
69,38,108
69,36,107
69,33,105
66,29,99
72,35,105
70,30,100
73,33,103
75,36,103
67,28,95
62,19,90
62,19,90
70,27,98
82,36,108
85,42,113
83,40,111
70,30,101
53,16,86
47,11,81
51,18,89
55,19,91
57,19,94
68,24,101
83,34,113
96,43,125
102,47,130
108,49,129
112,53,133
148,86,161
125,67,141
96,43,113
77,27,96
60,18,82
48,9,72
46,12,73
48,14,74
51,17,77
52,18,79
54,20,81
56,21,85
55,20,84
51,19,84
50,18,83
50,18,83
57,17,87
58,21,90
58,23,91
61,25,95
64,31,102
67,34,105
68,34,108
70,36,110
72,36,110
70,32,105
66,26,99
64,24,95
63,23,93
70,29,99
68,29,96
59,20,87
51,14,84
54,17,87
66,26,97
81,38,110
87,44,116
83,40,112
69,27,99
56,16,87
54,17,87
56,20,92
57,21,93
57,19,92
63,21,97
79,32,110
97,46,125
107,54,134
113,54,134
112,53,133
156,92,166
137,75,148
109,52,123
91,40,107
74,30,93
59,19,81
55,17,78
52,17,75
54,19,77
53,18,76
54,18,79
57,21,82
57,21,83
55,21,82
56,24,87
60,28,91
66,30,94
67,30,97
62,27,93
60,25,93
66,33,102
72,39,110
72,36,110
69,33,107
68,30,105
68,27,103
65,23,97
59,17,89
